,sna,tot,sbi,sarea,mday,ar,bemp,act
807,YouBike2.0_瑞光路358巷口,14,3,內湖區,2023-05-27 10:48:14,瑞光路/瑞光路358巷,11,1
810,YouBike2.0_民權東路六段56巷口,15,1,內湖區,2023-05-27 15:59:14,民權東路六段56巷7號對側,13,1
811,YouBike2.0_新湖三行忠路72巷口,15,0,內湖區,2023-05-27 14:30:26,新湖三路/行忠路72巷,14,1
812,YouBike2.0_新湖三新湖二146巷口,15,0,內湖區,2023-05-27 15:55:11,新湖三路122、124號對側,15,1
815,YouBike2.0_內湖路一段120巷15弄,19,3,內湖區,2023-05-27 06:54:14,內湖路一段120巷15弄8號對側,16,1
816,YouBike2.0_北勢湖環保公園(堤頂大道側),14,0,內湖區,2023-05-27 15:51:04,堤頂大道二段501號前,14,1
817,YouBike2.0_達爾文大樓,15,2,內湖區,2023-05-27 15:45:16,洲子街61號,13,1
822,YouBike2.0_文林建民路口,20,2,北投區,2023-05-27 15:49:15,文林北路214-216號(前),18,1
826,YouBike2.0_關渡醫院,14,3,北投區,2023-05-27 15:59:04,知行路235巷7號(對面),8,1
827,YouBike2.0_捷運忠義站(1號出口),17,1,北投區,2023-05-27 15:58:15,中央北路四段262號(對面),16,1
829,YouBike2.0_捷運關渡站(2號出口),14,1,北投區,2023-05-27 15:58:15,捷運關渡站2號出口外人行道,13,1
830,YouBike2.0_中央北路四段540巷口,19,2,北投區,2023-05-27 15:46:15,中央北路四段529號(對面),17,1
831,YouBike2.0_大度立德路口,18,1,北投區,2023-05-27 15:58:15,大度路三段立德路口(西北側),17,1
834,YouBike2.0_豐年公園,20,0,北投區,2023-05-27 14:08:04,大業路529號(對面),20,1
835,YouBike2.0_稻香重三路口,15,1,北投區,2023-05-27 15:45:16,稻香重三路口(對面路側),11,1
845,YouBike2.0_立農公園,21,2,北投區,2023-05-27 15:53:15,承德路七段/吉利街(西北側),18,1
849,YouBike2.0_陽明大學,30,3,北投區,2023-05-27 15:57:14,東華街二段136號(對面),26,1
855,YouBike2.0_振興公園,13,1,北投區,2023-05-27 15:56:16,天母西路109號(對面),11,1
859,YouBike2.0_榮富公園,13,3,北投區,2023-05-27 15:50:21,榮華三路2號(旁),10,1
861,YouBike2.0_立功立德路口,32,0,北投區,2023-05-27 15:59:04,立德路15號(前),32,1
865,YouBike2.0_復興公園,14,1,北投區,2023-05-27 15:57:04,中和街61號對側,13,1
871,YouBike2.0_中和街455巷11弄,13,2,北投區,2023-05-27 15:51:15,中和街455巷11弄6-8號(前),10,1
873,YouBike2.0_文化三杏林一路口,17,2,北投區,2023-05-27 15:50:21,杏林一路3號(旁),15,1
874,YouBike2.0_珠海復興一路口,15,1,北投區,2023-05-27 15:55:23,珠海路/復興一路口(東側),14,1
875,YouBike2.0_裕民二路33巷,15,3,北投區,2023-05-27 15:55:23,裕民二路33巷/裕民六路(西北側),12,1
876,YouBike2.0_新奇岩社會住宅,12,2,北投區,2023-05-27 15:40:22,磺港路269-271號(旁),10,1
882,YouBike2.0_中庸公園,12,2,北投區,2023-05-27 15:05:16,珠海路1號旁,8,1
886,YouBike2.0_致遠新村,15,3,北投區,2023-05-27 15:25:16,秀山路26號(懷遠新村社區入口南側),12,1
887,YouBike2.0_北投公園露天溫泉,15,3,北投區,2023-05-27 15:51:15,中山路6號西側(北投溪木道西側),12,1
888,YouBike2.0_中和街493巷9弄口,16,1,北投區,2023-05-27 13:52:04,中和街493巷9弄2號對側,15,1
893,YouBike2.0_捷運忠義站(2號出口),20,0,北投區,2023-05-27 15:43:04,捷運忠義站(2號出口)無障礙坡道旁,20,1
904,YouBike2.0_捷運南京三民站(1號出口),35,1,松山區,2023-05-27 15:59:14,捷運南京三民站(1號出口),34,1
905,YouBike2.0_光復北路11巷口,23,3,松山區,2023-05-27 15:56:16,光復北路13號(旁),20,1
907,YouBike2.0_西松高中,14,1,松山區,2023-05-27 15:48:04,健康路325巷5弄5號(前),12,1
908,YouBike2.0_民權復興路口,27,0,松山區,2023-05-27 15:58:04,民權東路三段119號(前),27,1
910,YouBike2.0_民有一號公園,37,0,松山區,2023-05-27 15:21:05,敦化北路244巷43號(對面),37,1
917,YouBike2.0_民生國小(敦化北路199巷),20,0,松山區,2023-05-27 15:47:04,敦化北路199巷15號(旁),19,1
920,YouBike2.0_新東公園,36,2,松山區,2023-05-27 15:57:14,民生東路五段/塔悠路口(西南側),34,1
923,YouBike2.0_八德路三段74巷口,17,3,松山區,2023-05-27 15:58:15,八德路三段74巷95號南側,14,1
924,YouBike2.0_八德路三段8巷口,15,2,松山區,2023-05-27 15:55:23,市民大道四段123號,13,1
925,YouBike2.0_三軍總醫院(松山分院),44,2,松山區,2023-05-27 15:37:14,光復北路/光復北路190巷口(東南側),41,1
926,YouBike2.0_平安新城,16,3,松山區,2023-05-27 15:59:14,延壽街356巷/延壽街330巷16弄(東北側),13,1
927,YouBike2.0_健康社會住宅,20,0,松山區,2023-05-27 15:51:04,健康路305號(前),18,1
929,YouBike2.0_市民東興路口,25,0,松山區,2023-05-27 15:58:15,東興路33號南側,24,1
930,YouBike2.0_光復南路22巷口,29,3,松山區,2023-05-27 15:53:15,光復南路19號西側,25,1
931,YouBike2.0_光復南路58巷,12,1,松山區,2023-05-27 15:45:16,光復南路58巷11號東側,8,1
933,YouBike2.0_內政部營建署,33,2,松山區,2023-05-27 15:59:14,八德路二段342號(前),31,1
935,YouBike2.0_民生立體停車場,20,3,松山區,2023-05-27 15:58:15,民生東路五段84號前,16,1
936,YouBike2.0_健康新城,35,1,松山區,2023-05-27 15:50:21,健康路179號前,31,1
938,YouBike2.0_復盛公園,20,0,松山區,2023-05-27 15:51:04,八德路四段106巷/八德路四段106巷6弄口(東側),19,1
947,YouBike2.0_捷運松山站(2號出口),14,2,松山區,2023-05-27 15:41:16,八德路四段685號前,12,1
949,YouBike2.0_南京東路五段59巷口,11,2,松山區,2023-05-27 15:52:14,南京東路五段57號(前),9,1
950,YouBike2.0_三民公園(塔悠路),20,1,松山區,2023-05-27 15:32:14,塔悠路/撫遠街261巷(西側),19,1
952,YouBike2.0_西松公園,11,2,松山區,2023-05-27 15:57:14,健康路/南京東路五段251巷50弄(西側),8,1
954,YouBike2.0_復源公園,14,0,松山區,2023-05-27 15:53:04,八德路三段106巷62號(對面),12,1
957,YouBike2.0_西松高中(健康路325巷),31,2,松山區,2023-05-27 15:59:15,健康路325巷 / 健康路325巷12弄口(東北側),29,1
963,YouBike2.0_新東街51巷口,23,1,松山區,2023-05-27 15:59:05,三民路 / 新東街51巷口(東側),22,1
964,YouBike2.0_八德立體停車場,16,1,松山區,2023-05-27 15:58:15,八德路/松信路(西南側),15,1
965,YouBike2.0_長春慶城街口,16,3,松山區,2023-05-27 15:45:16,長春路431號前,13,1
967,YouBike2.0_捷運松山站(1號出口),15,1,松山區,2023-05-27 15:58:04,八德路四段711號前,12,1
969,YouBike2.0_捷運小巨蛋站(5號出口)_1,20,0,松山區,2023-05-27 15:55:11,南京東路四段/健康路(西北側),18,1
970,YouBike2.0_敦化北路155巷口,30,1,松山區,2023-05-27 15:28:04,敦化北路151號前分隔島,29,1
971,YouBike2.0_民生復興路口,17,3,松山區,2023-05-27 15:56:16,民生東路三段/復興北路(東南側),14,1
972,YouBike2.0_市民延吉街口,30,3,松山區,2023-05-27 15:52:14,市民大道/延吉街(市民大道橋下空地),25,1
976,YouBike2.0_五常街370巷,11,3,松山區,2023-05-27 15:34:14,五常街370巷8號,8,1
980,YouBike2.0_忠孝東路六段225巷口,35,1,南港區,2023-05-27 15:55:24,忠孝東路六段219號,34,1
983,YouBike2.0_合心廣場,38,1,南港區,2023-05-27 15:56:04,忠孝東路六段17號東北側,37,1
984,YouBike2.0_成德國中,26,2,南港區,2023-05-27 15:42:14,東新街118巷15號南側,23,1
988,YouBike2.0_國家生技園區,30,0,南港區,2023-05-27 15:50:10,研究院路一段130巷99號(國家生技園區),29,1
990,YouBike2.0_中研公園,40,1,南港區,2023-05-27 15:51:15,研究院路二段12巷58弄9號西側,39,1
991,YouBike2.0_福山公園,20,2,南港區,2023-05-27 15:52:14,福山街44巷27號東南側,18,1
993,YouBike2.0_凌雲市場,20,1,南港區,2023-05-27 15:46:04,研究院路三段68巷9號北側,19,1
995,YouBike2.0_捷運南港軟體園區(2號出口),34,3,南港區,2023-05-27 15:42:14,經貿二路183號(2號出口),31,1
997,YouBike2.0_興中立體停車場(興中路),26,2,南港區,2023-05-27 15:59:15,興中路44巷1號東側,24,1
1000,YouBike2.0_向陽南港路口,21,0,南港區,2023-05-27 15:59:05,向陽路49號北側,20,1
1004,YouBike2.0_東新國小,22,1,南港區,2023-05-27 15:50:21,東明街68號北側,20,1
1006,YouBike2.0_六福公園,19,2,南港區,2023-05-27 15:30:44,研究院路二段35巷23弄25號北側,17,1
1007,YouBike2.0_南港加壓站,24,0,南港區,2023-05-27 15:52:04,研究院路二段3巷1號西側,24,1
1014,YouBike2.0_世貿公園,35,2,南港區,2023-05-27 15:53:15,經貿二路188-1號,32,1
1015,YouBike2.0_凌雲五村(研究院路三段8巷),26,0,南港區,2023-05-27 15:23:04,研究院路三段10巷1號東側,26,1
1016,YouBike2.0_新新公園(昆陽街60巷),20,0,南港區,2023-05-27 15:03:04,南港路三段47巷8號南側,20,1
1017,YouBike2.0_南港高中(昆陽街),14,1,南港區,2023-05-27 15:55:24,昆陽街58號東側,12,1
1018,YouBike2.0_南港路三段290巷口,20,2,南港區,2023-05-27 15:45:16,南港路三段314巷20號,18,1
1019,YouBike2.0_南港路三段220巷口,25,1,南港區,2023-05-27 15:55:24,南港路三段133號,23,1
1022,YouBike2.0_捷運後山埤站(3號出口),12,0,南港區,2023-05-15 07:23:15,玉成街150號,12,0
1023,YouBike2.0_玉成公園運動中心,15,1,南港區,2023-05-27 15:58:04,中坡南路19號,14,1
1024,YouBike2.0_百福公園,18,1,南港區,2023-05-27 15:31:15,福德街309巷7號南側,16,1
1026,YouBike2.0_園區重陽路口,13,2,南港區,2023-05-27 15:55:11,重陽路458號西側,11,1
1028,YouBike2.0_胡適公園,20,1,南港區,2023-05-27 14:23:15,研究院路二段/研究院路二段132巷北側,19,1
1030,YouBike2.0_經貿公園,20,2,南港區,2023-05-27 15:21:17,經園街58號北側,18,1
1031,YouBike2.0_育成高中,20,3,南港區,2023-05-27 15:55:24,惠民街71號西側,17,1
1033,YouBike2.0_力行橋(南港),18,0,南港區,2023-05-27 15:57:04,研究院路一段101巷16弄2號南側,18,1
1034,YouBike2.0_舊莊國小(舊莊街一段),15,0,南港區,2023-05-27 14:14:04,舊莊街一段/舊莊街一段145巷口,15,1
1035,YouBike2.0_向陽公園,17,3,南港區,2023-05-27 15:57:14,成功路一段76號對側,14,1
1042,YouBike2.0_昆陽公園,14,0,南港區,2023-05-27 14:46:04,昆陽街173號對側,14,1
1043,YouBike2.0_南港路二段178巷口,18,2,南港區,2023-05-27 15:58:15,南港路二段 / 南港路二段178巷口(北側),15,1
1046,YouBike2.0_玉成公園(成福路178巷口),18,3,南港區,2023-05-27 15:58:15,成福路178巷8號對側,13,1
1047,YouBike2.0_玉東公園(東新街),14,3,南港區,2023-05-27 15:38:15,東新街/市民大道七段(北側),11,1
1049,YouBike2.0_成福路197巷口,15,1,南港區,2023-05-27 15:55:11,成福路197巷/成福路,14,1
1052,YouBike2.0_南港展覽館2館,18,0,南港區,2023-05-27 14:17:24,經貿二路/南港路一段(西北側),18,1
1053,YouBike2.0_舊莊派出所,15,2,南港區,2023-05-27 15:40:22,舊莊街一段/舊莊街一段215巷,13,1
1056,YouBike2.0_忠孝東路六段278巷口,14,1,南港區,2023-05-27 15:57:04,忠孝東路/忠孝東路六段278巷,13,1
1058,YouBike2.0_南港路三段130巷口,12,3,南港區,2023-05-27 15:39:15,松河街380號對側,9,1
1061,YouBike2.0_新富公園,13,2,南港區,2023-05-27 15:10:22,富康街47巷2號對側,11,1
1065,YouBike2.0_基隆路二段159巷口,14,3,信義區,2023-05-27 15:57:14,基隆路二段155號,8,1
1066,YouBike2.0_嘉興街175巷口,16,3,信義區,2023-05-27 15:52:14,基隆路二段131-4號(前),12,1
1071,YouBike2.0_三興公園,31,2,信義區,2023-05-27 15:42:14,吳興街118巷35弄28號前方(三興公園),29,1
1077,YouBike2.0_捷運象山站(1號出口),24,3,信義區,2023-05-27 15:50:21,信義路5段152號(1號出口),20,1
1079,YouBike2.0_中全公園,17,3,信義區,2023-05-27 15:42:14,虎林街164巷54號北側,14,1
1084,YouBike2.0_光復信義路口東南側,16,1,信義區,2023-05-27 15:52:14,光復南路485號前方,14,1
1085,YouBike2.0_三張犁,40,1,信義區,2023-05-27 15:59:15,光復南路455號前方,35,1
1086,YouBike2.0_仁愛路四段496巷口,34,3,信義區,2023-05-27 15:56:16,仁愛路四段與仁愛路四段496巷口西南側,30,1
1088,YouBike2.0_松友公園,27,1,信義區,2023-05-27 15:51:15,信義路六段76巷2弄22號(對面),25,1
1096,YouBike2.0_市民廣場,30,1,信義區,2023-05-27 15:53:15,市府路/松壽路(西北側),29,1
1099,YouBike2.0_春光公園,30,2,信義區,2023-05-27 15:58:15,林口街230號(斜對面),27,1
1102,YouBike2.0_福德公園,35,3,信義區,2023-05-27 15:59:15,大道路與大道路145巷口,31,1
1105,YouBike2.0_福祥公園,19,0,信義區,2023-05-27 15:58:15,松隆路99號西南側,19,1
1107,YouBike2.0_泰和公園,34,0,信義區,2023-05-27 15:56:04,吳興街600巷81號西側,33,1
1108,YouBike2.0_興雅國小(基隆路一段37巷),15,3,信義區,2023-05-27 15:22:14,基隆路一段83巷9號西側,10,1
1109,YouBike2.0_雅祥公園(松信路50巷口),12,2,信義區,2023-05-27 15:33:15,松信路61號西側,10,1
1111,YouBike2.0_五常公園,19,2,信義區,2023-05-27 15:48:15,松隆路161號對側,15,1
1113,YouBike2.0_三興國小,22,2,信義區,2023-05-27 15:57:14,基隆路二段99-1號(前),20,1
1114,YouBike2.0_市民松信路口,20,1,信義區,2023-05-27 15:59:15,市民大道六段/松信路口(西側),17,1
1116,YouBike2.0_基隆光復路口,17,1,信義區,2023-05-27 15:42:04,基隆路二段/光復南路(東北側),16,1
1118,YouBike2.0_泰和里民活動中心,18,2,信義區,2023-05-27 15:57:14,松仁路308巷60號,15,1
1120,YouBike2.0_虎林永吉路口,15,2,信義區,2023-05-27 15:43:16,永吉路356號東側,12,1
1122,YouBike2.0_永吉路321巷口,15,1,信義區,2023-05-27 15:51:15,永吉路323號西側,14,1
1123,YouBike2.0_松山永吉路口,20,3,信義區,2023-05-27 15:56:16,松山路166號,17,1
1128,YouBike2.0_松德虎林街口,25,2,信義區,2023-05-27 15:53:15,松德路79號前,21,1
1131,YouBike2.0_捷運永春站(2號出口),28,1,信義區,2023-05-27 15:56:16,虎林街132巷44號西側,27,1
1132,YouBike2.0_吳興街260巷,32,1,信義區,2023-05-27 15:59:15,吳興街260巷/吳興街260巷21弄口(東南側),31,1
1135,YouBike2.0_安強公園,20,0,信義區,2023-05-27 15:59:15,虎林街222巷55號,19,1
1136,YouBike2.0_信義基隆路口,20,2,信義區,2023-05-27 15:50:21,信義路四段393號前,17,1
1140,YouBike2.0_福德國小公車站,10,0,信義區,2023-05-27 15:48:04,福德街308號對側,10,1
1144,YouBike2.0_景平公園,13,3,信義區,2023-05-27 15:09:15,松平路50巷15號對側,10,1
1146,YouBike2.0_五分埔公園,18,1,信義區,2023-05-27 15:53:15,中坡北路57號旁,17,1
1147,YouBike2.0_松仁路305號,14,2,信義區,2023-05-27 15:54:15,松仁路/吳興街583巷3弄,12,1
1151,YouBike2.0_松仁松平路口,10,2,信義區,2023-05-27 15:15:15,松仁路/松平路,8,1
1154,YouBike2.0_吳興街284巷(廣安宮),15,1,信義區,2023-05-27 15:59:15,吳興街284巷23號對側,13,1
1155,YouBike2.0_景勤二號公園(西南側),22,2,信義區,2023-05-27 15:52:14,信安街67巷/信安街口東南側,19,1
1157,YouBike2.0_和平東路三段291號,15,1,信義區,2023-05-27 15:56:04,和平東路三段291號前,14,1
1165,YouBike2.0_國興青年路口,30,1,萬華區,2023-05-27 15:58:15,國興路與青年路口西南側,29,1
1171,YouBike2.0_莒光立體停車場,10,0,萬華區,2023-05-27 15:56:04,莒光路137號前,10,1
1174,YouBike2.0_華中疏散門,12,0,萬華區,2023-05-27 15:23:04,環河南路三段371號前,11,1
1185,YouBike2.0_糖廍文化園區,14,2,萬華區,2023-05-27 15:58:15,大理街177號對側,11,1
1191,YouBike2.0_貓公園(中興橋頭),15,0,萬華區,2023-05-27 15:25:05,成都路108號(對面),14,1
1204,YouBike2.0_萬華266號綠地,15,3,萬華區,2023-05-27 15:56:16,康定路81號(對面),12,1
1208,YouBike2.0_長順街60巷口,15,2,萬華區,2023-05-27 15:57:14,長順街60巷38號對側,13,1
1211,YouBike2.0_柳鄉公園,21,3,萬華區,2023-05-27 15:53:15,環河南路二段102號西北側,16,1
1212,YouBike2.0_綠堤社區公園,22,2,萬華區,2023-05-27 15:39:15,大理街170巷與環河南路二段159巷口,20,1
1216,YouBike2.0_龍山國中,15,0,萬華區,2023-05-27 15:40:11,南寧路與廣州街口南側,15,1
1217,YouBike2.0_洛陽停車場,22,1,萬華區,2023-05-27 15:59:15,昆明街與洛陽街口西側,19,1
1218,YouBike2.0_桂林昆明街口,20,1,萬華區,2023-05-27 15:59:05,桂林路與昆明街口西北側,19,1
1220,YouBike2.0_青年公園3號出口,38,3,萬華區,2023-05-27 15:55:24,青年路/青年路106巷(東側),32,1
1224,YouBike2.0_萬大路493巷,10,3,萬華區,2023-05-27 15:24:14,萬大路493巷44號旁,6,1
1228,YouBike2.0_臺大卓越研究大樓,32,3,臺大專區,2023-05-27 15:58:15,臺大水源舍區C南側,26,1
1230,YouBike2.0_臺大檔案展示館,10,2,臺大專區,2023-05-27 13:57:15,臺大檔案展示館東北側,7,1
1232,YouBike2.0_臺大男八舍東側,42,0,臺大專區,2023-05-27 15:58:15,臺大男八舍東側,42,1
1233,YouBike2.0_臺大禮賢樓東南側,23,1,臺大專區,2023-05-27 15:54:15,臺大仰萃樓東南側,22,1
1234,YouBike2.0_臺大農業陳列館北側,45,2,臺大專區,2023-05-27 15:59:15,農業陳列館北側,42,1
1237,YouBike2.0_臺大大一女舍北側,53,2,臺大專區,2023-05-27 15:58:15,臺大女一舍北側,51,1
1239,YouBike2.0_臺大小福樓東側,31,2,臺大專區,2023-05-27 15:58:15,臺大小福樓東側,29,1
1240,YouBike2.0_臺大立體機車停車場,27,2,臺大專區,2023-05-27 15:35:15,基隆路三段/基隆路三段156巷口北側,25,1
1244,YouBike2.0_臺大樂學館東側,28,3,臺大專區,2023-05-27 15:58:15,臺大文學院西側,25,1
1245,YouBike2.0_臺大農化新館西側,10,0,臺大專區,2023-05-27 15:58:04,臺大生化科技學系西側,9,1
1246,YouBike2.0_臺大五號館西側,20,2,臺大專區,2023-05-27 15:58:15,臺大生物系館西側,17,1
1249,YouBike2.0_臺大共同教室東南側,12,3,臺大專區,2023-05-27 15:54:15,臺大共同教學館東南側,8,1
1250,YouBike2.0_臺大鹿鳴堂東側,27,3,臺大專區,2023-05-27 15:59:15,臺大鹿鳴廣場人行道側,23,1
1251,YouBike2.0_臺大公館停車場西北側,12,2,臺大專區,2023-05-27 15:59:15,臺大公館停車場西北側,10,1
1252,YouBike2.0_臺大第二行政大樓南側,27,0,臺大專區,2023-05-27 15:19:04,臺大行政大樓西側,27,1
1254,YouBike2.0_臺大二號館,10,2,臺大專區,2023-05-27 15:56:16,臺大物理文物廳北側,8,1
1259,YouBike2.0_臺大椰林小舖,48,2,臺大專區,2023-05-27 15:57:14,臺大椰林小舖旁,45,1
1266,YouBike2.0_臺大森林館北側,10,3,臺大專區,2023-05-27 15:56:16,臺大森林系學系北側,7,1
1267,YouBike2.0_臺大一號館,19,3,臺大專區,2023-05-27 15:52:14,臺大植物魚類標本館一號館北側,16,1
1268,YouBike2.0_臺大小小福西南側,10,0,臺大專區,2023-05-27 13:55:12,臺大進修教育大樓,10,1
1270,YouBike2.0_臺大四號館東北側,10,0,臺大專區,2023-05-27 15:48:04,臺大園藝暨景觀學系北側,10,1
1273,YouBike2.0_臺大電機二館東南側,14,2,臺大專區,2023-05-27 15:49:15,臺大電機二館南側,12,1
